plant,district,date,year,month,pipe_bursts,elevated,elevated_next,predicted,split
BATU 9,LIPIS,2023-01-01,2023,1,2,1,1,0.9025350077803516,train
BATU 9,LIPIS,2023-02-01,2023,2,2,1,1,0.7434132775660807,train
BATU 9,LIPIS,2023-03-01,2023,3,2,1,1,0.8574983380974426,train
BATU 9,LIPIS,2023-04-01,2023,4,3,1,1,0.686923620794956,train
BATU 9,LIPIS,2023-05-01,2023,5,3,1,1,0.81402815164749,train
BATU 9,LIPIS,2023-06-01,2023,6,2,1,1,0.8730075345307153,train
BATU 9,LIPIS,2023-07-01,2023,7,2,1,1,0.8945382372715162,train
BATU 9,LIPIS,2023-08-01,2023,8,2,1,1,0.8322152052965441,train
BATU 9,LIPIS,2023-09-01,2023,9,2,1,1,0.9014026855074695,train
BATU 9,LIPIS,2023-10-01,2023,10,2,1,1,0.8235294828638192,train
BATU 9,LIPIS,2023-11-01,2023,11,2,1,1,0.8239503043394685,train
BATU 9,LIPIS,2023-12-01,2023,12,2,1,1,0.7482220287791786,train
BATU 9,LIPIS,2024-01-01,2024,1,2,1,1,0.8170798462131718,train
BATU 9,LIPIS,2024-02-01,2024,2,3,1,1,0.7083795488363356,train
BATU 9,LIPIS,2024-03-01,2024,3,2,1,1,0.8287717444781941,train
BATU 9,LIPIS,2024-04-01,2024,4,3,1,1,0.8201269549686654,train
BATU 9,LIPIS,2024-05-01,2024,5,3,1,1,0.7572802998067448,train
BATU 9,LIPIS,2024-06-01,2024,6,2,1,1,0.8876325546670154,train
BATU 9,LIPIS,2024-07-01,2024,7,2,1,1,0.79915785063422,train
BATU 9,LIPIS,2024-08-01,2024,8,2,1,1,0.807694943659898,train
BATU 9,LIPIS,2024-09-01,2024,9,2,1,1,0.8002575789989307,train
BATU 9,LIPIS,2024-10-01,2024,10,3,1,0,0.6199078893893492,train
BATU 9,LIPIS,2024-11-01,2024,11,1,0,1,0.8348552726974137,train
BATU 9,LIPIS,2024-12-01,2024,12,2,1,1,0.8217555455263316,train
BATU 9,LIPIS,2025-01-01,2025,1,2,1,0,0.6274405205264206,train
BATU 9,LIPIS,2025-02-01,2025,2,1,0,1,0.6936884305698955,train
BATU 9,LIPIS,2025-03-01,2025,3,2,1,0,0.657244946792158,train
BATU 9,LIPIS,2025-04-01,2025,4,1,0,1,0.7991454011162875,train
BATU 9,LIPIS,2025-05-01,2025,5,2,1,1,0.8486149489100964,train
BATU 9,LIPIS,2025-06-01,2025,6,3,1,1,0.7245637289241852,test
BATU 9,LIPIS,2025-07-01,2025,7,2,1,1,0.7809558985747294,test
BATU 9,LIPIS,2025-08-01,2025,8,2,1,1,0.7201017452462388,test
BATU 9,LIPIS,2025-09-01,2025,9,2,1,1,0.7907651193044322,test
BATU 9,LIPIS,2025-10-01,2025,10,2,1,1,0.7638414013076484,test
BATU 9,LIPIS,2025-11-01,2025,11,2,1,0,0.7179301552686732,test
BATU BALAI,JERANTUT,2023-01-01,2023,1,1,0,0,0.10276752894015524,train
BATU BALAI,JERANTUT,2023-02-01,2023,2,1,0,0,0.10009753540429538,train
BATU BALAI,JERANTUT,2023-03-01,2023,3,1,0,1,0.25886836313178596,train
BATU BALAI,JERANTUT,2023-04-01,2023,4,2,1,0,0.11158404132697441,train
BATU BALAI,JERANTUT,2023-05-01,2023,5,1,0,0,0.15035251507313252,train
BATU BALAI,JERANTUT,2023-06-01,2023,6,1,0,0,0.1401627111816708,train
BATU BALAI,JERANTUT,2023-07-01,2023,7,1,0,0,0.10805430768390835,train
BATU BALAI,JERANTUT,2023-08-01,2023,8,0,0,0,0.13916662697393456,train
BATU BALAI,JERANTUT,2023-09-01,2023,9,0,0,0,0.13566423110777076,train
BATU BALAI,JERANTUT,2023-10-01,2023,10,1,0,0,0.11007648489747789,train
BATU BALAI,JERANTUT,2023-11-01,2023,11,1,0,0,0.1418325526267747,train
BATU BALAI,JERANTUT,2023-12-01,2023,12,1,0,0,0.09609592605519277,train
BATU BALAI,JERANTUT,2024-01-01,2024,1,1,0,0,0.09561234071739941,train
BATU BALAI,JERANTUT,2024-02-01,2024,2,1,0,0,0.09153814654328851,train
BATU BALAI,JERANTUT,2024-03-01,2024,3,1,0,0,0.11590423403378754,train
BATU BALAI,JERANTUT,2024-04-01,2024,4,1,0,0,0.1083678833571829,train
BATU BALAI,JERANTUT,2024-05-01,2024,5,1,0,0,0.09676344324973521,train
BATU BALAI,JERANTUT,2024-06-01,2024,6,1,0,0,0.11099570402753126,train
BATU BALAI,JERANTUT,2024-07-01,2024,7,1,0,0,0.08362085524318212,train
BATU BALAI,JERANTUT,2024-08-01,2024,8,1,0,0,0.1111550072181781,train
BATU BALAI,JERANTUT,2024-09-01,2024,9,1,0,0,0.08261197323563055,train
BATU BALAI,JERANTUT,2024-10-01,2024,10,1,0,0,0.10368814282664732,train
BATU BALAI,JERANTUT,2024-11-01,2024,11,1,0,0,0.12764908579204984,train
BATU BALAI,JERANTUT,2024-12-01,2024,12,1,0,0,0.0981122795555598,train
BATU BALAI,JERANTUT,2025-01-01,2025,1,1,0,0,0.15981472746110875,train
BATU BALAI,JERANTUT,2025-02-01,2025,2,1,0,0,0.11829864705472679,train
BATU BALAI,JERANTUT,2025-03-01,2025,3,1,0,0,0.14075407704417509,train
BATU BALAI,JERANTUT,2025-04-01,2025,4,1,0,0,0.17270452655203958,train
BATU BALAI,JERANTUT,2025-05-01,2025,5,1,0,0,0.14590882028338062,train
BATU BALAI,JERANTUT,2025-06-01,2025,6,1,0,0,0.2006091452034672,test
BATU BALAI,JERANTUT,2025-07-01,2025,7,1,0,0,0.16995001706069723,test
BATU BALAI,JERANTUT,2025-08-01,2025,8,1,0,0,0.16735900401933437,test
BATU BALAI,JERANTUT,2025-09-01,2025,9,1,0,0,0.15232493681134165,test
BATU BALAI,JERANTUT,2025-10-01,2025,10,1,0,0,0.13358817711344181,test
BATU BALAI,JERANTUT,2025-11-01,2025,11,1,0,0,0.07927940419041257,test
BATU EMBUN,JERANTUT,2023-01-01,2023,1,1,0,0,0.1939864917092443,train
BATU EMBUN,JERANTUT,2023-02-01,2023,2,1,0,0,0.13038315355372807,train
BATU EMBUN,JERANTUT,2023-03-01,2023,3,1,0,0,0.18413372899691016,train
BATU EMBUN,JERANTUT,2023-04-01,2023,4,1,0,0,0.1758052395952447,train
BATU EMBUN,JERANTUT,2023-05-01,2023,5,1,0,0,0.2603536899134727,train
BATU EMBUN,JERANTUT,2023-06-01,2023,6,1,0,0,0.18743839661710132,train
BATU EMBUN,JERANTUT,2023-07-01,2023,7,1,0,0,0.1798785089279156,train
BATU EMBUN,JERANTUT,2023-08-01,2023,8,1,0,0,0.15592462754306724,train
BATU EMBUN,JERANTUT,2023-09-01,2023,9,1,0,0,0.21127836500949257,train
BATU EMBUN,JERANTUT,2023-10-01,2023,10,1,0,1,0.33286258717058037,train
BATU EMBUN,JERANTUT,2023-11-01,2023,11,2,1,0,0.20844917950171818,train
BATU EMBUN,JERANTUT,2023-12-01,2023,12,1,0,0,0.17831543031490554,train
BATU EMBUN,JERANTUT,2024-01-01,2024,1,1,0,0,0.20638148886169147,train
BATU EMBUN,JERANTUT,2024-02-01,2024,2,1,0,1,0.35613120603357706,train
BATU EMBUN,JERANTUT,2024-03-01,2024,3,2,1,0,0.2366957956927187,train
BATU EMBUN,JERANTUT,2024-04-01,2024,4,1,0,0,0.23779953360504602,train
BATU EMBUN,JERANTUT,2024-05-01,2024,5,1,0,1,0.45459758644721654,train
BATU EMBUN,JERANTUT,2024-06-01,2024,6,2,1,1,0.4292973705381098,train
