year,plant,district,region,area_type,months,days_observed,production_m3,billed_m3,nrw_m3,physical_loss_m3,commercial_loss_m3,nrw_value_rm,physical_loss_value_rm,nrw_sunk_cost_rm,billed_revenue_rm,opex_rm,energy_cost_rm,energy_kwh,pipe_bursts,complaints,supply_interruption_hr,pipe_length_km,plant_age_yr,meter_age_yr,capacity_m3_day,capacity_utilisation_pct,customer_accounts,population_served,tariff_rm_m3,cost_per_m3_rm,pressure_bar,water_quality_compliance_pct,nrw_pct_monthly_sd,nrw_pct,physical_share_pct,nrw_per_km_m3,physical_loss_per_km_m3,bursts_per_100km,account_density,nrw_per_account_m3,loss_per_connection_l_day,operating_margin_pct,asset_age_index,complete_year,annualise,nrw_m3_annualised,production_m3_annualised,billed_m3_annualised,physical_loss_m3_annualised,commercial_loss_m3_annualised,nrw_value_rm_annualised,nrw_sunk_cost_rm_annualised,billed_revenue_rm_annualised,opex_rm_annualised,pipe_bursts_annualised,pr_nrw_per_km_m3,pr_bursts_per_100km,pr_plant_age_yr,pr_account_density,lips,lips_rank,volume_rank,rate_rank,rank_gap,connections_per_km,cluster,archetype,actual_nrw_pct,expected_nrw_pct,unexplained_pp,anomaly_score,unexplained_m3,anomaly_months,worst_z,recent_z,step_shift_pp,step_p,trend_pp_yr,trend_p,trend_recent_pp_yr,volatility_pp,latest_nrw_pct,projected_nrw_pct_12m,projected_extra_m3,unexplained_signal,step_signal,deterioration_signal,trend_signal,pr_unexplained,pr_deterioration,pr_trend,criticality,criticality_rank
2025,SG BILUT,RAUB,BARAT,Pinggir Bandar,12,365,5823979,3612386,2211593,1744946,466647,2600833.368,2052056.496,515156.255,4248165.91,1354125.78,845383.78,2110968,24,248,83.39999999999999,48.0,19.0,12.6,18600.0,85.81666666666666,13783.5,57853.0,1.176,0.2325833333333333,2.1183333333333336,97.80833333333334,2.281729142292721,37.9739178317779,78.89996034532575,46074.85416666666,36353.04166666666,50.0,287.15625,160.452207349367,346.84035060780934,68.12446103358519,60.0,True,1.0,2211593.0,5823979.0,3612386.0,1744946.0,466647.0,2600833.368,515156.255,4248165.91,1354125.78,24.0,74.32432432432432,56.08108108108109,39.18918918918919,66.21621621621621,61.52,20,19,34,15,287.15625,0,Sparse network · high loss rate,37.99166666666667,35.58170754033686,2.4099591263298095,0.46901402821797045,140355.51342603157,0,2.463357556349301,1.2316787781746505,0.7833333333333314,0.4605874650800778,0.1061003861003861,0.7745220457690076,3.134265734265736,1.8570415706337136,40.7,40.80610038610039,6179.264205405405,2.4099591263298095,0.0,64.52702702702703,1.1620077220077223,68.92,90.54,98.65,84.32,1
2025,BERA KOMPLEKS,BERA,TENGAH,Luar Bandar,12,365,2174201,907318,1266883,983100,283783,1180734.956,916249.2,327091.594,845620.37,561747.03,335376.03,840595,16,97,59.0,30.0,13.0,6.2,8600.0,69.25833333333334,5111.833333333333,21246.0,0.932,0.25825,2.4066666666666667,98.08333333333331,3.0598573941815137,58.26889970154553,77.5999046478641,42229.43333333333,32770.0,53.333333333333336,170.39444444444445,247.83339310749568,526.8999362657064,33.569832287743964,35.0,True,1.0,1266883.0,2174201.0,907318.0,983100.0,283783.0,1180734.956,327091.594,845620.37,561747.03,16.0,64.86486486486487,72.97297297297297,16.216216216216218,35.13513513513514,52.7,34,35,1,-34,170.39444444444445,0,Sparse network · high loss rate,58.35,48.79773482672524,9.552265173274762,0.47984960617016276,207685.4449199916,0,1.8383179522989572,-0.2248302531588679,-0.6499999999999915,0.7066995767706871,-0.8189961389961384,0.1728269694154174,1.7370629370629382,3.052446650730452,58.3,57.481003861003856,0.0,9.552265173274762,0.0,61.14864864864865,0.23691119691119766,95.95,81.08,66.22,82.57,2
2025,KECHAU,LIPIS,BARAT,Pinggir Bandar,12,365,6508113,3724952,2783161,1647631,1135530,3350925.844,1983747.724,659041.045,4484842.22,1541047.39,867955.39,2189440,26,239,89.3,49.0,22.0,14.9,24500.0,72.77499999999999,15713.75,65520.0,1.204,0.2368333333333333,2.3191666666666664,97.80833333333334,2.2328640393409134,42.764484882177065,59.19998878972507,56799.204081632655,33625.12244897959,53.06122448979592,320.6887755102041,177.1162835096651,287.2679999520532,65.63876019700868,70.25000000000001,True,1.0,2783161.0,6508113.0,3724952.0,1647631.0,1135530.0,3350925.844,659041.045,4484842.22,1541047.39,26.0,87.83783783783784,71.62162162162163,45.27027027027027,75.67567567567568,73.45,8,13,27,14,320.6887755102041,1,Dense network · low loss rate,42.725,34.52481616426143,8.200183835738569,0.4585158987278622,533677.2302376004,0,2.3888214398129386,1.377085300598047,-0.990000000000002,0.29232414995655814,-0.8060231660231654,0.049838830636061135,1.1034965034965074,2.118748975745409,45.6,44.793976833976835,0.0,8.200183835738569,0.0,60.33783783783784,0.24988416988417073,93.24,75.68,67.57,80.27,3
2025,SG BERA (KEPAYANG),BERA,TENGAH,Luar Bandar,12,365,2387908,1012211,1375697,1077171,298526,1309663.544,1025466.792,434968.94,963624.88,754889.72,463821.72,1154185,19,115,58.4,28.0,30.0,7.7,9600.0,68.13333333333334,5757.25,23588.0,0.952,0.3165833333333333,2.3241666666666667,98.43333333333334,3.1617385896197856,57.61097161197165,78.3000180999159,49132.03571428572,38470.392857142855,67.85714285714286,205.61607142857144,238.9503669286552,512.5977549450752,21.66145398819508,64.25,True,1.0,1375697.0,2387908.0,1012211.0,1077171.0,298526.0,1309663.544,434968.94,963624.88,754889.72,19.0,77.02702702702703,95.27027027027027,66.8918918918919,50.0,75.51,6,32,3,-29,205.61607142857142,0,Sparse network · high loss rate,57.574999999999996,43.41255440758102,14.162445592418981,0.48129064261375104,338186.1712970203,0,1.7344048100826732,0.9084977576623542,-1.5666666666666629,0.26457107267252405,-0.9908880308880306,0.09606675791324941,2.9832167832167853,3.045483399364125,62.7,61.70911196911197,0.0,14.162445592418981,0.0,60.87837837837838,0.06501930501930553,98.65,78.38,56.76,80.0,4
2025,PADANG PIOL,JERANTUT,TENGAH,Pinggir Bandar,12,365,8159697,4830049,3329648,2756950,572698,4055511.264,3357965.1,816858.521,5882999.7,2001602.34,1317338.34,3278244,21,274,65.0,49.0,16.0,9.8,26900.0,83.125,18947.58333333333,80387.0,1.218,0.24525,2.2425,98.175,2.119819889433149,40.80602502764502,82.80004372834607,67952.0,56264.28571428572,42.85714285714285,386.6853741496598,175.7294289949026,398.6412165790472,65.97650106968389,48.5,True,1.0,3329648.0,8159697.0,4830049.0,2756950.0,572698.0,4055511.264,816858.521,5882999.7,2001602.34,21.0,94.5945945945946,22.2972972972973,27.027027027027028,86.48648648648648,61.79,19,8,30,22,386.68537414965976,1,Dense network · low loss rate,40.75,33.86821871769538,6.881781282304625,0.46502122261643936,561532.500838772,0,2.7479253163861332,-0.6994718987164695,-2.2733333333333334,0.04362198841443177,-0.8892664092664091,0.03850600875794739,-2.8783216783216803,2.2225624739514718,40.1,39.21073359073359,0.0,6.881781282304625,0.0,63.9864864864865,0.166640926640927,87.84,87.84,60.81,79.73,5
2025,LUBUK KAWAH,TEMERLOH,TENGAH,Luar Bandar,12,365,908527,386064,522463,406999,115464,505221.721,393568.033,148383.96,373323.9,258007.74,127694.74,319862,11,46,42.4,22.0,12.0,11.300000000000002,3700.0,67.28333333333333,2140.75,9017.0,0.967,0.2843333333333333,2.2925,97.83333333333331,3.181325719465602,57.50660134481419,77.90006182255968,23748.31818181818,18499.954545454544,50.0,97.3068181818182,244.05605512086885,520.8762132078278,30.889037642647583,46.25000000000001,True,1.0,522463.0,908527.0,386064.0,406999.0,115464.0,505221.721,148383.96,373323.9,258007.74,11.0,20.27027027027027,56.08108108108109,10.81081081081081,14.864864864864863,26.52,69,63,4,-59,97.30681818181819,0,Sparse network · high loss rate,57.59166666666667,47.0196648810182,10.572001785648467,0.4655369247808115,96049.49066309845,0,1.5991958329525704,0.9029473070412476,-0.873333333333342,0.5446224821768798,-0.6267181467181465,0.36425777189417724,-0.06293706293706115,3.482637711864208,61.9,61.27328185328185,0.0,10.572001785648467,0.0,52.770270270270274,0.4291891891891896,97.3,56.08,75.68,78.45,6
2025,TERLA,CAMERON HIGHLANDS,BARAT,Luar Bandar,12,365,1891016,938226,952790,723168,229622,921347.93,699303.456,295606.746,907264.56,587075.39,393666.39,989687,15,99,48.6,27.0,16.0,10.2,6400.0,80.95,4369.666666666667,18379.0,0.967,0.3105,2.6675,98.8,2.4216667188053966,50.38508399717401,75.90004093241951,35288.51851851852,26784.0,55.55555555555556,161.83950617283952,218.04638034937827,453.41723818311584,35.291709179073415,49.5,True,1.0,952790.0,1891016.0,938226.0,723168.0,229622.0,921347.93,295606.746,907264.56,587075.39,15.0,45.94594594594595,83.1081081081081,27.027027027027028,31.08108108108108,49.22,42,43,12,-31,161.83950617283952,0,Sparse network · high loss rate,50.40833333333333,43.35202529235528,7.0563080409780525,0.4567376297992307,133435.91406418153,0,1.7199514366653184,-0.8768379873195743,-0.9833333333333485,0.5042110874215223,-0.5993822393822398,0.2482465958610977,-3.738461538461543,2.627188975612575,48.4,47.80061776061776,0.0,7.0563080409780525,0.0,53.310810810810814,0.4565250965250963,89.19,59.46,78.38,77.03,7
2025,KARAK INDAH,BENTONG,BARAT,Luar Bandar,12,365,510716,215301,295415,186702,108713,290983.775,183901.47,98416.365,212071.52,170144.78,69190.78,173754,16,47,55.6,20.0,31.0,11.699999999999998,2100.0,66.63333333333334,1219.75,5109.0,0.985,0.3338333333333333,2.4475,98.04166666666669,2.413158373031769,57.843302344159966,63.19990521808304,14770.75,9335.1,80.0,60.9875,242.1930723508916,419.3583347137719,19.77009454169046,75.74999999999999,True,1.0,295415.0,510716.0,215301.0,186702.0,108713.0,290983.775,98416.365,212071.52,170144.78,16.0,9.45945945945946,100.0,73.64864864864865,2.702702702702702,43.92,51,69,2,-67,60.9875,0,Sparse network · high loss rate,57.78333333333333,42.29887156196758,15.484461771365757,0.5405629285224949,79081.62378024834,0,1.6923586328685494,-0.44148486074831617,-1.5333333333333314,0.10521766228890016,-1.45976833976834,0.023089004916743424,1.1076923076923095,3.344601325224182,56.7,55.240231660231665,0.0,15.484461771365757,0.0,64.12162162162163,0.0,100.0,89.19,25.68,74.46,8
2025,GANCHONG,PEKAN,PANTAI TIMUR,Luar Bandar,12,365,607322,299765,307557,225131,82426,286950.68100000004,210047.223,118661.757,279680.74,234009.03,134153.03,335401,10,36,32.5,20.0,28.0,7.2,2600.0,63.975,1411.25,6009.0,0.9330000000000002,0.3848333333333333,2.5191666666666666,97.80833333333334,2.101280273518692,50.64150483598486,73.1997645964813,15377.85,11256.55,50.0,70.5625,217.93232949512844,437.0574032056493,16.32994463615907,60.0,True,1.0,307557.0,607322.0,299765.0,225131.0,82426.0,286950.68100000004,118661.757,279680.74,234009.03,10.0,10.81081081081081,56.08108108108109,60.13513513513513,8.108108108108109,31.59,64,68,9,-59,70.5625,0,Sparse network · high loss rate,50.65833333333333,41.82421616562346,8.834117167709877,0.49018515896877846,53651.537065278986,0,2.323245949308277,-1.1616229746541384,-0.39333333333333087,0.7239842299616175,-1.2698069498069495,0.01752071099575514,0.415384615384612,2.792212495008922,47.9,46.63019305019305,0.0,8.834117167709877,0.0,67.77027027027027,0.0,94.59,94.59,25.68,73.92,9
2025,JENDERAK KG,TEMERLOH,TENGAH,Pinggir Bandar,12,365,2533160,1606754,926406,755946,170460,1083895.02,884456.82,296571.612,1879902.18,811286.98,539260.98,1364955,14,112,49.5,30.0,18.0,5.1,7800.0,88.97500000000001,5946.25,25107.0,1.17,0.3200833333333333,2.495,98.20833333333331,2.313776265342137,36.57116013200904,81.59986010453301,30880.2,25198.2,46.66666666666666,198.20833333333331,155.7966785789363,348.3010185422492,56.844191754700766,39.75,True,1.0,926406.0,2533160.0,1606754.0,755946.0,170460.0,1083895.02,296571.612,1879902.18,811286.98,14.0,35.13513513513514,35.13513513513514,36.48648648648648,45.94594594594595,37.03,55,46,41,-5,198.20833333333334,0,Sparse network · high loss rate,36.59166666666667,33.253036611296146,3.338630055370526,0.48004951526723777,84572.84111062402,0,1.6318324826046648,-0.5439441608682216,-1.5133333333333354,0.1668756340775245,-0.6681081081081085,0.10634275708877018,0.44895104895104937,2.1136826443408334,36.1,35.431891891891894,0.0,3.338630055370526,0.0,57.5,0.3877992277992276,77.03,64.86,71.62,71.76,10
